BG,silo,brood_treatment,larvae_treatment,48h_in,48h_out,7d_in ,7d_out,14d_in,14_out
3,0,C,C,500000,4054,,,,
3,1,C,C,,,3948,1215,1017,156
3,2,C,C,,,,,,
3,3,C,C,,,,,,
3,0,C,T,500000,10642,,,,
3,1,C,T,,,4000,370,0,0
3,2,C,T,,,4000,360,0,0
3,3,C,T,,,4000,0,0,0
4,0,C,C,500000,20468,,,,
4,1,C,C,,,4000,1820,1500,810
4,2,C,C,,,4000,2275,1500,1051
4,3,C,C,,,4000,1015,816,476
4,0,C,T,500000,18760,,,,
4,1,C,T,,,4000,45,0,0
4,2,C,T,,,4000,100,0,0
4,3,C,T,,,4000,186,0,0
5,0,C,C,500000,17850,,,,
5,1,C,C,,,4000,300,0,0
5,2,C,C,,,4000,53,0,0
5,3,C,C,,,4000,65,0,0
5,0,C,T,500000,13380,,,,
5,1,C,T,,,4000,12,0,0
5,2,C,T,,,4000,5,0,0
5,3,C,T,,,4000,100,0,0
6,0,T,C,500000,118800,,,,
6,1,T,C,,,4000,0,0,0
6,2,T,C,,,4000,2248,1500,1505
6,3,T,C,,,4000,1271,1066,1450
6,0,T,T,500000,85500,,,,
6,1,T,T,,,4000,455,0,0
6,2,T,T,,,4000,713,432,362
6,3,T,T,,,4000,420,0,0
7,0,T,C,500000,165600,,,,
7,1,T,C,,,4000,3827,1500,1073
7,2,T,C,,,4000,2185,1500,2533
7,3,T,C,,,4000,2000,1500,1610
7,0,T,T,500000,179800,,,,
7,1,T,T,,,4000,2040,1500,584
7,2,T,T,,,4000,1392,1065,721
7,3,T,T,,,4000,1048,648,569
8,0,T,C,500000,369750,,,,
8,1,T,C,,,4000,1647,1500,1651
8,2,T,C,,,4000,42,0,0
8,3,T,C,,,4000,1650,1400,1236
8,0,T,T,500000,252300,,,,
8,1,T,T,,,4000,1479,1500,565
8,2,T,T,,,4000,1600,1280,689
8,3,T,T,,,4000,1610,1098,444
9,0,T,C,500000,194400,,,,
9,1,T,C,,,4000,888,662,552
9,2,T,C,,,4000,981,742,476
9,3,T,C,,,4000,1001,766,336
9,0,T,T,500000,100800,,,,
9,1,T,T,,,4000,198,0,0
9,2,T,T,,,4000,128,0,0
9,3,T,T,,,4000,319,0,0
10,0,T,C,500000,141250,,,,
10,1,T,C,,,,,,
10,2,T,C,,,,,,
10,3,T,C,,,,,,
10,0,T,T,500000,78400,,,,
10,1,T,T,,,,,,
10,2,T,T,,,,,,
10,3,T,T,,,,,,