Sample ID,CE,Cer d18:0,Cer d18:1,DG,FFA,HexCER,LPC,LPE,LPG,LPI,LPS,LacCER,PA,PC,PE,PG,PI,PS,SM,TG
prepared_blank,0.951983912,,,0.253551439,47.60104267,,3.45979115,3.733652752,3.284339546,1.719390536,2.742503592,,3.066521053,5.850513988,2.493394266,31.69035139,6.063171907,3.267162118,,20.21924484
235,754.0532986,,44.60309143,61.11190852,116.3638422,3.012804553,20.40482234,52.58960904,2.498002887,,14.39096251,,5.885427289,3194.186653,2064.327082,44.75469862,819.3563558,159.9460386,52.02106199,16050.77072
488,909.5225545,,48.42240285,87.05046209,146.9840533,3.735775271,25.78509626,64.43436667,,,,,,4552.630495,2558.810817,53.79320651,1013.634835,247.6400235,75.49829458,24216.76205
329,552.0012221,,31.49539157,56.73530355,102.6960462,2.922436108,26.53466226,87.5921274,,1.374919273,32.82093221,,4.357858875,2490.14834,1452.977965,44.14874536,605.5588062,233.3623937,32.82340479,11641.27105
306,925.3412218,,56.53409861,49.99593023,102.9282215,4.719763149,21.23121454,94.80561398,,,63.29081881,,6.736869261,3442.639416,1978.526552,52.37071019,708.3669873,403.4916566,64.16849464,20002.52195
500,681.8503941,,54.32645943,58.21287389,98.71557902,3.624717653,19.18222789,34.04635144,2.71485642,,7.384257647,,5.992406032,3932.460629,2300.220271,49.09955382,1063.840127,198.2409232,51.4315415,20008.66624
360,1902.13433,,114.0314443,58.28201588,161.1762365,5.49537017,31.68984414,68.98690891,,,,,4.953930806,6462.542032,4593.589565,68.22799077,1549.685548,385.5658052,93.34785878,32336.62131
22,466.7303677,4.46376242,29.19944399,21.96298547,87.87640363,1.67443194,21.09246827,85.42221962,2.13308185,,51.5392864,,3.041601994,1917.525552,1055.861588,39.76221505,444.1496838,208.3883929,29.66938108,9197.564047
193,378.2360567,2.477602474,19.80191105,25.68096048,79.00601267,1.31264587,17.7522787,70.09675836,3.633094009,,45.62756042,,5.001949329,1348.432756,716.0416816,32.9305189,323.1913186,148.038696,21.82497519,6083.978038
83,412.9829808,,42.08628931,29.39187064,73.77521219,3.408300292,18.85500636,57.79335108,,,21.13162689,,2.295611866,2899.312089,1857.306072,45.58013602,671.1933953,150.3899815,54.70878102,15216.67466
399,557.9933093,,45.14254467,68.27555606,97.06793055,2.561423181,22.59272235,60.13516674,,,8.167751957,,2.580517469,2943.438052,1798.180122,42.66499321,752.8967218,176.0095005,53.81083136,15307.18381
482,543.9016402,,42.38856016,48.34894298,166.8351166,3.003917032,29.78541874,56.61996599,,,10.71650998,,,3198.992372,1831.481747,50.98198755,873.3083269,166.4265181,41.14124001,15507.72411
18,1118.040467,,77.6415544,54.40545251,128.6372489,3.748330669,24.70027781,61.40112359,,,3.133001049,,,4495.743568,2436.720903,56.4857906,1036.435085,217.3179119,61.81572289,24642.89063
363,916.4123181,,60.06097506,61.92516616,106.5310699,2.224607258,21.9792136,75.6943133,3.32941347,,15.52974075,,6.829588888,3324.981511,1903.003095,75.11562288,971.2815596,159.8436656,106.1675932,13703.50818
32,227.5889638,2.924571971,17.65295404,19.68533182,88.00136825,1.253305222,21.69249175,67.57225775,3.205301382,,34.07444279,,4.360647607,1149.2837,688.2058536,28.94482731,258.2928626,119.6422879,14.00628197,5323.084695
20,283.384152,2.203390701,20.98663267,26.85608826,81.02151462,1.343273693,27.02128585,90.45893704,3.614054621,,38.70214547,,5.928032034,1450.720648,832.8318143,31.57482256,336.6668176,171.6840558,22.4837793,6580.800839
373,822.7419833,,55.57582667,53.90568553,153.7228245,4.356596053,27.95331936,48.10757072,,,,,12.75562717,4200.915317,2580.87219,49.66691301,709.4907983,184.2328795,68.85218769,22787.47599
216,876.0544991,,62.76533819,58.4626964,148.6990403,4.35500038,26.75311403,50.40799019,,,,,1.901096146,4476.407505,2248.43928,57.37504608,948.4962569,240.7566935,52.12532405,24437.45933
8,494.9601249,,30.04428696,42.16286019,124.9486126,2.999920364,28.1675379,63.58198887,,,17.59830972,,4.921014861,2569.914915,1676.182868,37.23896171,580.0094431,116.0914489,30.3062411,14125.60959
44,348.4218316,3.342416137,29.15260859,25.73665982,103.5567082,1.217110354,22.96085029,56.96485453,1.804217228,,22.35266738,,6.59354925,1878.00008,998.37821,30.94877041,419.803942,80.13501997,25.71510793,8709.349038
245,688.8138475,,38.19805666,65.23958292,121.4791538,2.713144122,31.31595191,51.78571968,,,15.87865403,,4.08328795,2698.059752,1818.717366,49.0516017,755.4791708,129.3542134,38.0425208,11958.84619
29,873.4167867,,52.05831476,42.4504366,144.6662669,4.173073812,43.48524795,86.71021533,,,36.55661183,,2.911965457,3637.929177,2023.971787,56.90301472,913.2997981,302.3441047,43.262623,18404.75176
334,769.0138484,,43.98233898,32.22858736,129.0320312,3.845326475,31.17047617,66.4685319,2.496469374,,,,7.007854735,3405.830781,2032.268777,47.61049892,741.2447033,161.1542637,39.57666446,15260.35374
218,873.4935166,,51.95814312,46.4056757,109.0409885,1.892931332,18.18838184,103.1540335,1.739253596,,38.59092753,,4.606869111,2715.878085,1320.763965,45.93495779,559.970427,193.2911985,71.70118304,11896.57717
43,591.0127222,,46.80321736,22.9663219,111.5568846,3.269557473,24.81436031,57.91348714,2.198081844,,17.32481855,,4.248436806,2649.57672,1758.519273,39.59653302,603.8651495,138.2736595,32.99701948,13339.17694
337,879.2870469,,73.34342884,52.90920889,130.8038837,6.0087731,21.59304409,61.50384326,,,,,5.70721759,3463.514844,2015.941139,52.46272999,993.7122268,184.3434988,46.81839631,19991.03937
339,338.2456932,2.032317505,22.10422996,47.91954465,112.5272182,1.510095948,24.14532871,83.03883597,2.082891403,2.151829981,41.81288882,,4.39221116,1514.056652,811.5846718,30.21728774,350.9057883,152.6380233,21.56264543,6642.115152
31,560.4640068,3.679150914,44.36041136,53.63165991,129.1072049,1.467928849,25.28488393,66.60011409,1.653225999,,21.14967495,,4.90774643,2236.767717,1493.779018,39.8093142,518.2696202,143.4680882,36.03328187,10609.79353
358,580.5496242,2.193504057,37.23684969,48.91939527,131.8737528,3.949423704,29.14638477,76.48379769,,,32.91327145,,5.44935881,2524.361239,1439.509881,38.75315217,567.6339474,157.3244387,35.58253696,11884.20442
226,801.4017165,,51.26651217,59.09502209,155.1013507,4.587914725,33.40020364,58.8626741,,,,,2.753165827,3044.849744,2197.569065,43.24038092,689.1781582,170.5197335,38.35556765,19869.92732
7,959.5670614,,59.55223463,54.08318388,139.3698769,2.501134039,24.69302338,65.25895555,,,13.20144053,,2.064271135,3946.964937,2523.970924,53.10695239,948.4533012,198.7044861,70.85866862,18586.39293